modelo,accuracy_global,macro_f1_global,macro_recall_global,macro_recall_ataques,mcc_global,roc_auc_binario,umbral_binario,latencia_ms_evento,throughput_eventos_s
GNN Jerárquica,0.9896076433209632,0.5702373058478847,0.6315419556404793,0.5789856075384882,0.9808901541467109,0.9999823084057071,0.5,0.0006338334892642386,1577701.4262228585
RandomForest Tabular Cascade,0.9896980721274072,0.5875348675869474,0.6202921259967109,0.5660541080983107,0.9810172704680195,0.9999997721949303,0.7,0.002171939092720979,460418.067592868
XGBoost Tabular Cascade,0.9898615395852101,0.5438792605674315,0.5413414151594766,0.4758684610328395,0.981318172359914,0.9999992439561992,0.22999999999999998,0.00124562240408475,802811.5075007607
