modelo,trained,reason,train_samples,val_samples,best_f1,tiempo_s,tiempo_min
bin_sage,True,trained,1341726,287512,0.9997182725402783,48.92307511199988,0.815384585199998
multi_web_sage,True,trained,609365,130527,1.0,9.053838341999835,0.15089730569999726
multi_infra_gat,False,no_train_samples,0,0,,0.00033977999964918126,5.662999994153021e-06
multi_infra_sage,False,no_train_samples,0,0,,0.0002208609998888278,3.6810166648137965e-06
multi_auth_sage,True,trained,1726,392,0.17966016317700048,12.043431329999748,0.2007238554999958
multi_auth_gat,True,trained,1726,392,0.1452877437301791,18.202845695999713,0.3033807615999952
multi_gen_sage,True,trained,59959,12877,0.459087748677559,5.486381936000271,0.09143969893333785
multi_gen_gat,True,trained,59959,12877,0.40120050442515043,15.484935579999728,0.25808225966666215
multi_global_sage,True,trained,671050,143796,0.5032245528773267,15.671776432000115,0.2611962738666686
