modelo,umbral_binario,accuracy_global,macro_f1_global,macro_recall_global,macro_recall_ataques,mcc_global,roc_auc_binario,latencia_ms_evento,throughput_eventos_s
RandomForest Tabular Cascade,0.7,0.9896980721274072,0.5875348675869474,0.6202921259967109,0.5660541080983107,0.9810172704680195,0.9999997721949303,0.0020767466393527795,481522.38749337825
XGBoost Tabular Cascade,0.22999999999999998,0.9898615395852101,0.5438792605674315,0.5413414151594766,0.4758684610328395,0.981318172359914,0.9999992439561992,0.0013623779506746181,734010.7049624688
